name,utilisation,date_authorisation,composition,group_generic
"ABACAVIR/LAMIVUDINE VIATRIS 600 mg/300 mg, comprimé pelliculé ","ABACAVIR/LAMIVUDINE VIATRIS contient deux substances actives qui sont utilisées pour traiter l'infection par le VIH : l’abacavir et la lamivudine. Ces deux substances actives appartiennent à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI). ABACAVIR/LAMIVUDINE VIATRIS ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre corps, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globule blanc, important pour aider votre corps à combattre les infections. Tout le monde ne répond pas au traitement par ce médicament de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",08/01/2018,"['abacavir', 'lamivudine']","ABACAVIR (SULFATE D') équivalant à ABACAVIR 600 mg + LAMIVUDINE 300 mg - ABACAVIR 600 mg + LAMIVUDINE 300 mg - KIVEXA 600 mg/300 mg, comprimé pelliculé"
"ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé ","Classe pharmacothérapeutique : Antiviraux à usage systémique, antiviraux pour le traitement des infections par le VIH, association d’antirétroviraux, code ATC : J05AR02. ABACAVIR/LAMIVUDINE TEVA contient deux substances actives qui sont utilisées pour traiter l'infection par le VIH : l'abacavir et la lamivudine. Ces deux substances actives appartiennent à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI). ABACAVIR/LAMIVUDINE TEVA ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre organisme, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globules blancs qui sont importants pour aider votre organisme à combattre les infections. Tout le monde ne répond pas au traitement par ABACAVIR/LAMIVUDINE TEVA de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",03/05/2017,"['abacavir', 'lamivudine']","ABACAVIR (SULFATE D') équivalant à ABACAVIR 600 mg + LAMIVUDINE 300 mg - ABACAVIR 600 mg + LAMIVUDINE 300 mg - KIVEXA 600 mg/300 mg, comprimé pelliculé"
"ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé ","Classe pharmaco-thérapeutique : Antiviraux à usage systémique, antiviraux pour le traitement des infections par le VIH, associations d’antirétroviraux – code ATC : J05AR02. ABACAVIR/LAMIVUDINE SANDOZ contient deux substances actives qui sont utilisées pour traiter l'infection par le VIH : l’abacavir et la lamivudine. Ces deux substances actives appartiennent à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI). ABACAVIR/LAMIVUDINE SANDOZ ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre corps, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globule blanc, important pour aider votre corps à combattre les infections. Tout le monde ne répond pas au traitement par ABACAVIR/LAMIVUDINE SANDOZ de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",03/03/2017,"['abacavir', 'lamivudine']","ABACAVIR (SULFATE D') équivalant à ABACAVIR 600 mg + LAMIVUDINE 300 mg - ABACAVIR 600 mg + LAMIVUDINE 300 mg - KIVEXA 600 mg/300 mg, comprimé pelliculé"
"ABACAVIR/LAMIVUDINE MYLAN 600 mg/300 mg, comprimé pelliculé ","Classe pharmaco-thérapeutique : antiviraux à usage systémique, antiviraux pour le traitement des infections par le VIH, associations d’antirétroviraux - code ATC : J05AR02. ABACAVIR/LAMIVUDINE MYLAN contient deux substances actives qui sont utilisées pour traiter l'infection par le VIH : l’abacavir et la lamivudine. Ces deux substances actives appartiennent à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI) . ABACAVIR/LAMIVUDINE MYLAN ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre corps, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globule blanc, important pour aider votre corps à combattre les infections. Tout le monde ne répond pas au traitement par ABACAVIR/LAMIVUDINE MYLAN de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",03/03/2017,"['abacavir', 'lamivudine']","ABACAVIR (SULFATE D') équivalant à ABACAVIR 600 mg + LAMIVUDINE 300 mg - ABACAVIR 600 mg + LAMIVUDINE 300 mg - KIVEXA 600 mg/300 mg, comprimé pelliculé"
"ABACAVIR/LAMIVUDINE EG 600 mg/300 mg, comprimé pelliculé ","antiviraux pour le traitement des infections par le VIH en association , CODE ATC : J05AR02. ABACAVIR/LAMIVUDINE EG contient deux substances actives qui sont utilisées pour traiter l'infection par le VIH : l'abacavir et la lamivudine. Ces deux substances actives appartiennent à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI). ABACAVIR/LAMIVUDINE EG ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre organisme, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globules blancs qui sont importants pour aider votre organisme à combattre les infections. Tout le monde ne répond pas au traitement par ABACAVIR/LAMIVUDINE EG de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",13/01/2017,"['abacavir', 'lamivudine']","ABACAVIR (SULFATE D') équivalant à ABACAVIR 600 mg + LAMIVUDINE 300 mg - ABACAVIR 600 mg + LAMIVUDINE 300 mg - KIVEXA 600 mg/300 mg, comprimé pelliculé"
"ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg, comprimé pelliculé ","Classe pharmacothérapeutique : antiviraux à usage systémique, antiviraux pour le traitement des infections par le VIH, associations d'antirétroviraux ‑ code ATC : J05AR02. ABACAVIR/LAMIVUDINE BIOGARAN contient deux substances actives qui sont utilisées pour traiter l'infection par le VIH : l’abacavir et la lamivudine. Ces deux substances actives appartiennent à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI). ABACAVIR/LAMIVUDINE BIOGARAN ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre corps, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD 4 dans votre sang. Les cellules CD 4 sont un type de globule blanc important pour aider votre corps à combattre les infections. Tout le monde ne répond pas au traitement par ABACAVIR / LAMIVUDINE BIOGARAN de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",14/02/2017,"['abacavir', 'lamivudine']","ABACAVIR (SULFATE D') équivalant à ABACAVIR 600 mg + LAMIVUDINE 300 mg - ABACAVIR 600 mg + LAMIVUDINE 300 mg - KIVEXA 600 mg/300 mg, comprimé pelliculé"
"ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé ","Classe pharmacothérapeutique : antiviraux à usage systémique, antiviraux pour le traitement des infections par le VIH, associations d'antirétroviraux - code ATC : J05AR02 ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé contient deux substances actives qui sont utilisées pour traiter l'infection par le VIH : l’abacavir et la lamivudine. Ces deux substances actives appartiennent à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI) . ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre corps, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globule blanc, important pour aider votre corps à combattre les infections. Tout le monde ne répond pas au traitement par ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",15/12/2017,"['abacavir', 'lamivudine']","ABACAVIR (SULFATE D') équivalant à ABACAVIR 600 mg + LAMIVUDINE 300 mg - ABACAVIR 600 mg + LAMIVUDINE 300 mg - KIVEXA 600 mg/300 mg, comprimé pelliculé"
"ABACAVIR/LAMIVUDINE ACCORD 600 mg/300 mg, comprimé pelliculé ","ABACAVIR/LAMIVUDINE ACCORD est indiqué dans le traitement de l'infection par le VIH (Virus de l’Immunodéficience Humaine) chez l’adulte, l'adolescent et l’enfant pesant au moins 25 kg. ABACAVIR/LAMIVUDINE ACCORD contient deux substances actives qui sont utilisées pour traiter l'infection par le VIH : l’abacavir et la lamivudine. Ces deux substances actives appartiennent à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI). ABACAVIR/LAMIVUDINE ACCORD ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre corps, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globule blanc, important pour aider votre corps à combattre les infections. Tout le monde ne répond pas au traitement par ABACAVIR/LAMIVUDINE ACCORD de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",16/03/2017,"['abacavir', 'lamivudine']","ABACAVIR (SULFATE D') équivalant à ABACAVIR 600 mg + LAMIVUDINE 300 mg - ABACAVIR 600 mg + LAMIVUDINE 300 mg - KIVEXA 600 mg/300 mg, comprimé pelliculé"
"ABACAVIR VIATRIS 300 mg, comprimé pelliculé sécable ","ABACAVIR VIATRIS 300 mg, comprimé pelliculé sécable contient une substance active : l’abacavir. L’abacavir appartient à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI) . Abacavir VIATRIS ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre corps, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globule blanc, important pour aider votre corps à combattre les infections. Tout le monde ne répond pas au traitement par abacavir de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",21/02/2018,['abacavir'],"ABACAVIR (SULFATE D') équivalant à ABACAVIR 300 mg - ABACAVIR 300 mg - ZIAGEN 300 mg, comprimé pelliculé"
"ABACAVIR SANDOZ 300 mg, comprimé pelliculé sécable ","ABACAVIR SANDOZ contient une substance active : l’abacavir. L’abacavir appartient à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI). ABACAVIR SANDOZ ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre corps, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globule blanc, important pour aider votre corps à combattre les infections. Tout le monde ne répond pas au traitement par ABACAVIR SANDOZ de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",30/12/2016,['abacavir'],"ABACAVIR (SULFATE D') équivalant à ABACAVIR 300 mg - ABACAVIR 300 mg - ZIAGEN 300 mg, comprimé pelliculé"
"ABACAVIR ARROW 300 mg, comprimé pelliculé sécable ","Classe pharmacothérapeutique : inhibiteurs nucléosidiques de la transcriptase inverse - code ATC : J05AF06 ABACAVIR ARROW est indiqué dans le traitement de l'infection par le VIH (Virus de l’Immunodéficience Humaine). ABACAVIR ARROW contient une substance active : l’abacavir. L’abacavir appartient à une classe de médicaments antirétroviraux appelés analogues nucléosidiques inhibiteurs de la transcriptase inverse (INTI). ABACAVIR ARROW ne guérit pas complètement l'infection par le VIH ; il diminue la quantité de virus dans votre corps, et la maintient à un niveau bas. Il augmente également le nombre de cellules CD4 dans votre sang. Les cellules CD4 sont un type de globule blanc, important pour aider votre corps à combattre les infections. Tout le monde ne répond pas au traitement par ABACAVIR ARROW de manière identique. Votre médecin s'assurera régulièrement de l'efficacité de votre traitement.",22/10/2019,['abacavir'],"ABACAVIR (SULFATE D') équivalant à ABACAVIR 300 mg - ABACAVIR 300 mg - ZIAGEN 300 mg, comprimé pelliculé"
"A.D.N. BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH ",,14/10/2021,['A.D.N. pour préparations homéopathiques'],
"A 313 50 000 U.I., capsule molle ",Ce médicament est indiqué pour traiter la carence en vitamine A chez l'adulte et l'enfant de plus de 8 ans.,07/07/1997,"['concentrat de vitamine A synthétique, forme huileuse']",
"A 313 200 000 UI POUR CENT, pommade ",Ce médicament est indiqué en cas d'irritation de la peau.,12/03/1998,"['concentrat de vitamine A synthétique, forme huileuse']",
"DALACINE 300 mg, gélule ","Classe pharmacothérapeutique : ANTIBIOTIQUES ANTIBACTERIENS de la famille des lincosamides (J: Anti-infectieux) - code ATC : J01FF01. Ce médicament est indiqué dans le traitement curatif de certaines infections bactériennes sévères dues à des germes sensibles à cet antibiotique. Ce médicament est également indiqué pour prévenir une endocardite infectieuse (infection au niveau du cœur) au cours des soins dentaires et d'actes portant sur les voies aériennes supérieures lors de soins ambulatoires, en cas d'allergie aux bêta-lactamines (pénicillines, céphalosporines). N'utilisez ce médicament que dans le cadre d'une prescription médicale ( voir Conseils/Education sanitaire ).",04/06/1996,['clindamycine base'],"CLINDAMYCINE (CHLORHYDRATE DE) équivalant à CLINDAMYCINE 300 mg - CLINDAMYCINE (CHLORHYDRATE DE) HYDRATE équivalant à CLINDAMYCINE 300 mg - DALACINE 300 mg, gélule"
"DALACINE 150 mg, gélule ","Classe pharmacothérapeutique : ANTIBIOTIQUES ANTIBACTERIENS de la famille des lincosamides (J : Anti-infectieux) - code ATC : J01FF01. Ce médicament est indiqué dans le traitement curatif de certaines infections bactériennes sévères dues à des germes sensibles à cet antibiotique. Ce médicament est également indiqué pour prévenir une endocardite infectieuse (infection au niveau du cœur) au cours des soins dentaires et d'actes portant sur les voies aériennes supérieures lors de soins ambulatoires, en cas d'allergie aux bêta-lactamines (pénicillines, céphalosporines). N'utilisez ce médicament que dans le cadre d'une prescription médicale ( voir Conseils/Education sanitaire ).",02/11/1982,['clindamycine base'],"CLINDAMYCINE (CHLORHYDRATE DE) équivalant à CLINDAMYCINE 150 mg - CLINDAMYCINE (CHLORHYDRATE DE) HYDRATE équivalant à CLINDAMYCINE 150 mg - DALACINE 150 mg, gélule"
"DAKTARIN 2 %, poudre pour application cutanée ","Classe pharmacothérapeutique : ANTIFONGIQUE A USAGE TOPIQUE - DERIVES IMIDAZOLÉS ET TRIAZOLÉS, code ATC : D01AC02. Daktarin, poudre est un médicament indiqué pour traiter les infections de la peau, situées entre les doigts ou les orteils ou aux plis de l’aine  dues à des champignons, y compris les levures. Concernant les infections des plis de l'aine, un traitement antifongique par voie orale est nécessaire pour traiter un éventuel foyer digestif et/ou vaginal, et ainsi éviter toute récidive.",28/05/1996,['nitrate de miconazole'],
"DAKTARIN 2 %, gel buccal ","Classe pharmacothérapeutique - code ATC : A01AB09 Il s'agit d'un anti-infectieux pour traitement oral local. Ce médicament est indiqué dans le traitement des mycoses de la cavité buccale, chez l’adulte et chez les enfants âgés de 4 mois et plus (voir la rubrique « Avertissements et précautions »).",04/05/1984,['miconazole'],
"DAKIN COOPER STABILISE, solution pour application locale en flacon ",Ce médicament est un antiseptique local à usage externe (il est utilisé pour la désinfection de la peau et des muqueuses). Ce médicament est préconisé dans :,28/11/1988,['chlore actif'],
"DAIVONEX 50 microgrammes/gramme, pommade ","Classe pharmacothérapeutique - code ATC : AUTRES MEDICAMENTS CONTRE LE PSORIASIS A USAGE TOPIQUE - D05AX02. Ce médicament est une pommade pour application locale contenant comme substance active un dérivé de la vitamine D, le calcipotriol. Il est préconisé dans le traitement du psoriasis.",25/05/1992,['calcipotriol anhydre'],
"DAIVONEX 50 microgrammes/gramme, crème ","Classe pharmacothérapeutique - code ATC : AUTRES MEDICAMENTS CONTRE LE PSORIASIS A USAGE TOPIQUE, D05AX02. Ce médicament est une crème pour application locale contenant comme substance active un dérivé de la vitamine D, le calcipotriol. Il est préconisé dans le traitement du psoriasis.",20/04/1995,['calcipotriol'],
"DAIVOBET 50 microgrammes/0,5 mg/g, pommade ","Classe pharmacothérapeutique - code ATC : D05AX52. DAIVOBET pommade est utilisé sur la peau pour traiter le psoriasis en plaques (psoriasis vulgaire) chez les adultes. Le psoriasis est dû à une production trop rapide des cellules de votre peau. Ceci entraîne rougeur, desquamation et épaississement de la peau. DAIVOBET pommade contient du calcipotriol et de la bétaméthasone. Le calcipotriol aide à ramener la vitesse de croissance des cellules de la peau à la normale et la bétaméthasone agit en réduisant l'inflammation.",12/02/2003,"['calcipotriol', 'bétaméthasone']","CALCIPOTRIOL MONOHYDRATE équivalant à CALCIPOTRIOL 50 microgrammes/g + DIPROPRIONATE DE BETAMETHASONE équivalant à 0,5 mg/g - DAIVOBET 50 microgrammes/0,5 mg/g, pommade"
"DAIVOBET 50 microgrammes/0,5 mg/g, gel ","Classe pharmacothérapeutique - code ATC : D05AX52 DAIVOBET est utilisé comme traitement topique du psoriasis du cuir chevelu chez les adultes et des plaques de psoriasis (psoriasis vulgaire) léger à modéré du reste du corps chez les adultes. Le psoriasis est dû à une production trop rapide des cellules de votre peau. Ceci entraîne rougeur, desquamation et épaississement de la peau. DAIVOBET contient du calcipotriol et de la bétaméthasone. Le calcipotriol aide à ramener la vitesse de croissance des cellules de la peau à la normale et la bétaméthasone agit en réduisant l'inflammation.",30/10/2008,"['calcipotriol', 'bétaméthasone']","CALCIPOTRIOL 50 microgrammes/g + BETAMETHASONE (DIPROPIONATE DE) équivalent à BETAMETHASONE 0,5 mg/g - DAIVOBET 50 microgrammes/0,5 mg/g, gel"
"DAILY, comprimé enrobé ","Classe pharmacothérapeutique : PROGESTATIFS ET ESTROGENES POUR ADMINISTRATION SEQUENTIELLE - code ATC : G03AB03 DAILY, comprimé enrobé est un contraceptif hormonal oral utilisé afin d’éviter une grossesse. Chaque comprimé de DAILY, comprimé enrobé contient deux hormones féminines différentes en petite quantité : le lévonorgestrel et l’éthinylestradiol. Les contraceptifs oraux contenant deux hormones sont appelés contraceptifs hormonaux «combinés».",21/02/2002,"['lévonorgestrel', 'éthinylestradiol']","LEVONORGESTREL 0,050 mg, 0,075 mg, 0,125 mg + ETHINYLESTRADIOL 0,030 mg, 0,040 mg, 0,030 mg - TRINORDIOL, comprimé enrobé"
"DAFLON 500 mg, comprimé pelliculé ",,04/04/2017,['fraction flavonoïque purifiée micronisée'],
"DAFLON 500 mg, comprimé pelliculé ",,20/04/2021,['fraction flavonoïque purifiée micronisée'],
"DAFLON 500 mg, comprimé pelliculé ",,13/08/2015,['fraction flavonoïque purifiée micronisée'],
"DAFLON 500 mg, comprimé pelliculé ","Classe pharmacothérapeutique : VASCULOPROTECTEURS / MEDICAMENTS AGISSANT SUR LES CAPILLAIRES / BIOFLAVONOIDES – code ATC : C05CA53 : système cardiovasculaire Ce médicament est un veinotonique (il augmente le tonus des veines), et un vasculoprotecteur (il augmente la résistance des petits vaisseaux sanguins). Il est préconisé dans le traitement des troubles de la circulation veineuse (jambes lourdes, douleurs, impatiences du primo-décubitus) et dans le traitement des signes fonctionnels liés à la crise hémorroïdaire.",18/04/1986,['fraction flavonoïque purifiée micronisée'],
"DAFLON 1000 mg, comprimé pelliculé ","Classe pharmacothérapeutique : VASCULOPROTECTEURS / MEDICAMENTS AGISSANT SUR LES CAPILLAIRES / BIOFLAVONOIDES – code ATC : C05CA53 Ce médicament est un veinotonique (il augmente le tonus des veines) et un vasculoprotecteur (il augmente la résistance des petits vaisseaux sanguins). Ce médicament est préconisé dans le traitement des signes fonctionnels liés à la crise hémorroïdaire. Si les troubles hémorroïdaires ne cèdent pas en 15 jours, il est indispensable de consulter votre médecin.",27/10/2016,['fraction flavonoïque purifiée micronisée'],
"DAFALGANTABS 1000 mg, comprimé pelliculé ","Classe pharmacothérapeutique : AUTRES ANALGESIQUES et ANTIPYRETIQUES-ANILIDES - code ATC : N02BE01. DAFALGANTABS 1000 mg, comprimé pelliculé contient du paracétamol. Le paracétamol est un antalgique (calme la douleur) et un antipyrétique (fait baisser la fièvre). Ce médicament est indiqué chez l’adulte et l’enfant à partir de 50 kg (environ 15 ans) pour faire baisser la fièvre et/ou soulager les douleurs légères à modérées (par exemple : maux de tête, états grippaux, douleurs dentaires, courbatures, règles douloureuses, poussées douloureuses de l’arthrose). Lire attentivement le paragraphe « Posologie » de la rubrique 3. Pour les enfants de moins de 50 kg, il existe d’autres présentations de paracétamol : demandez conseil à votre médecin ou à votre pharmacien.",11/06/2018,['paracétamol'],
"DAFALGANHOP 1000 mg, comprimé effervescent ","Classe pharmacothérapeutique : AUTRES ANALGESIQUES et ANTIPYRETIQUES-ANILIDES - code ATC : N02BE01. DAFALGANHOP 1000 mg, comprimé effervescent contient du paracétamol. Le paracétamol est un antalgique (calme la douleur) et un antipyrétique (fait baisser la fièvre). Ce médicament est indiqué chez l’adulte et l’enfant à partir de 50 kg (environ 15 ans) pour faire baisser la fièvre et/ou soulager les douleurs légères à modérées (par exemple : maux de tête, états grippaux, douleurs dentaires, courbatures, règles douloureuses, poussées douloureuses de l’arthrose). Lire attentivement le paragraphe « Posologie » de la rubrique 3. Pour les enfants de moins de 50 kg, il existe d’autres présentations de paracétamol : demandez conseil à votre médecin ou à votre pharmacien.",25/08/2010,['paracétamol'],
"DAFALGANCAPS 500 mg, gélule ","Classe pharmacothérapeutique : AUTRES ANALGESIQUES et ANTIPYRETIQUES-ANILIDES - code ATC : N02BE01. DAFALGANCAPS 500 mg, gélule contient du paracétamol. Le paracétamol est un antalgique (calme la douleur) et un antipyrétique (fait baisser la fièvre). Ce médicament est indiqué chez l’adulte et l’enfant à partir de 27 kg (environ 8 ans) pour faire baisser la fièvre et/ou soulager les douleurs légères à modérées (par exemple : maux de tête, états grippaux, douleurs dentaires, courbatures, règles douloureuses, poussées douloureuses de l’arthrose). Lire attentivement le paragraphe « Posologie » de la rubrique 3. Pour les enfants de moins de 27 kg, il existe d'autres présentations de paracétamol : demandez conseil à votre médecin ou à votre pharmacien.",11/06/2018,['paracétamol'],
"DAFALGANCAPS 1000 mg, gélule ","Classe pharmacothérapeutique : AUTRES ANALGESIQUES et ANTIPYRÉTIQUES-ANILIDES Code ATC : N02BE01. Ce médicament contient du paracétamol : un antalgique (il calme la douleur) et un antipyrétique (il fait baisser la fièvre). Il est indiqué en cas de douleur et/ou fièvre telles que maux de tête, états grippaux, douleurs dentaires, courbatures, règles douloureuses. Cette présentation est indiquée chez les adultes et les enfants à partir de 50 kg (à partir d’environ 15 ans). Lire attentivement la notice, rubrique ""Posologie"". Pour les enfants ayant un poids inférieur à 50 kg (environ 15 ans), il existe d'autres présentations de paracétamol : demandez conseil à votre médecin ou à votre pharmacien. Vous devez vous adresser à votre médecin si vous ne ressentez aucune amélioration ou si vous vous sentez moins bien après 3 jours en cas de fièvre, ou 5 jours en cas de douleur.",30/07/2019,['paracétamol'],
"DAFALGAN CODEINE, comprimé pelliculé ",Classe pharmacothérapeutique : ANTALGIQUE PERIPHERIQUE / ANALGESIQUE OPIOIDE - Code ATC : N02BE51 Ce médicament contient du paracétamol et de la codéine : c'est un antalgique (calme la douleur). La codéine appartient à un groupe de médicaments appelés les antalgiques opioïdes qui agissent pour soulager la douleur. Elle peut être utilisée seule ou en association avec d’autres antalgiques comme le paracétamol. Ce médicament peut être utilisé chez les adultes et les enfants de plus de 12 ans sur une courte durée pour des douleurs modérées non soulagées par d’autres antalgiques comme le paracétamol ou l’ibuprofène utilisés seuls. Vous devez vous adresser à votre médecin si vous ne ressentez aucune amélioration ou si vous vous sentez moins bien après 3 jours.,21/02/1990,"['paracétamol', 'codéine (phosphate de) hémihydraté']","PARACETAMOL 500 mg + CODEINE (PHOSPHATE DE) HEMIHYDRATE 30 mg - DAFALGAN CODEINE, comprimé pelliculé"
"DAFALGAN CODEINE, comprimé effervescent sécable ",Classe pharmacothérapeutique : ANTALGIQUE PERIPHERIQUE / ANALGESIQUE OPIOIDE - Code ATC : N02BE51. Ce médicament contient du paracétamol et de la codéine : c'est un antalgique (calme la douleur). La codéine appartient à un groupe de médicaments appelés les antalgiques opioïdes qui agissent pour soulager la douleur. Elle peut être utilisée seule ou en association avec d’autres antalgiques comme le paracétamol. Ce médicament peut être utilisé chez les adultes et les enfants de plus de 12 ans sur une courte durée pour des douleurs modérées non soulagées par d’autres antalgiques comme le paracétamol ou l’ibuprofène utilisés seuls. Vous devez vous adresser à votre médecin si vous ne ressentez aucune amélioration ou si vous vous sentez moins bien après 3 jours.,06/05/1988,"['codéine (phosphate de)', 'paracétamol']",
"DAFALGAN ADULTES 600 mg, suppositoire ","Classe pharmacothérapeutique : AUTRES ANTALGIQUES ET ANTIPYRÉTIQUES-ANILIDES - code ATC : N02BE01. Ce médicament contient du paracétamol : un antalgique (il calme la douleur) et un antipyrétique (il fait baisser la fièvre). Pour les enfants ayant un poids différent, il existe d'autres présentations de paracétamol : demandez conseil à votre médecin ou à votre pharmacien. Vous devez vous adresser à votre médecin si vous ne ressentez aucune amélioration ou si vous vous sentez moins bien après 3 jours, en cas de fièvre ou 5 jours en cas de douleur.",05/09/1984,['paracétamol'],
"DAFALGAN 500 mg, gélule ","Classe pharmacothérapeutique : AUTRES ANALGESIQUES et ANTIPYRETIQUES-ANILIDES - code ATC : N02BE01. DAFALGAN 500 mg, gélule contient du paracétamol. Le paracétamol est un antalgique (calme la douleur) et un antipyrétique (fait baisser la fièvre). Ce médicament est indiqué chez l’adulte et l’enfant à partir de 27 kg (environ 8 ans) pour faire baisser la fièvre et/ou soulager les douleurs légères à modérées (par exemple : maux de tête, états grippaux, douleurs dentaires, courbatures, règles douloureuses, poussées douloureuses de l’arthrose). Lire attentivement le paragraphe « Posologie » de la rubrique 3. Pour les enfants de moins de 27 kg, il existe d'autres présentations de paracétamol : demandez conseil à votre médecin ou à votre pharmacien.",06/12/1983,['paracétamol'],
"DAFALGAN 500 mg, comprimé effervescent sécable ","Classe pharmacothérapeutique : AUTRES ANALGESIQUES et ANTIPYRETIQUES-ANILIDES - code ATC : N02BE01. DAFALGAN 500 mg, comprimé effervescent sécable contient du paracétamol : un antalgique (calme la douleur) et un antipyrétique (fait baisser la fièvre). Ce médicament est indiqué chez l’adulte et l’enfant à partir de 13 kg (environ 2 ans) pour faire baisser la fièvre et/ou soulager les douleurs légères à modérées (par exemple : maux de tête, états grippaux, douleurs dentaires, courbatures, règles douloureuses, poussées douloureuses de l’arthrose). Lire attentivement le paragraphe « Posologie » de la rubrique 3. Pour les enfants de moins de 13 kg, il existe d'autres présentations de paracétamol : demandez conseil à votre médecin ou à votre pharmacien.",13/06/1984,['paracétamol'],
"DAFALGAN 500 mg, comprimé ","Classe pharmacothérapeutique : AUTRES ANALGESIQUES et ANTIPYRETIQUES-ANILIDES - code ATC : N02BE01. DAFALGAN 500 mg, comprimé contient du paracétamol. Le paracétamol est un antalgique (calme la douleur) et un antipyrétique (fait baisser la fièvre). Ce médicament est indiqué chez l’adulte et l’enfant à partir de 27 kg (environ 8 ans) pour faire baisser la fièvre et/ou soulager les douleurs légères à modérées (par exemple : maux de tête, états grippaux, douleurs dentaires, courbatures, règles douloureuses, poussées douloureuses de l’arthrose). Lire attentivement le paragraphe « Posologie » de la rubrique 3. Pour les enfants de moins de 27 kg, il existe d'autres présentations de paracétamol : demandez conseil à votre médecin ou à votre pharmacien.",14/03/2005,['paracétamol'],
